iter	Passed	Remaining
0	264	529424
1	360	360236
2	451	300680
3	554	276577
4	656	261965
5	740	246085
6	830	236319
7	913	227416
8	995	220226
9	1087	216353
10	1166	210929
11	1249	206930
12	1354	206959
13	1447	205301
14	1531	202641
15	1627	201844
16	1719	200575
17	1796	197856
18	1878	195852
19	1966	194716
20	2071	195181
21	2188	196803
22	2285	196457
23	2369	195074
24	2459	194280
25	2559	194338
26	2656	194148
27	2757	194220
28	2860	194413
29	2965	194737
30	3052	193901
31	3155	194087
32	3246	193528
33	3338	193054
34	3437	193007
35	3527	192441
36	3628	192502
37	3708	191471
38	3789	190550
39	3867	189521
40	3945	188504
41	4036	188197
42	4119	187485
43	4220	187628
44	4300	186820
45	4388	186418
46	4466	185583
47	4539	184608
48	4620	183982
49	4701	183362
50	4786	182929
51	4863	182183
52	4951	181908
53	5043	181745
54	5135	181596
55	5213	180986
56	5297	180569
57	5380	180168
58	5459	179592
59	5554	179588
60	5639	179261
61	5718	178756
62	5803	178422
63	5880	177889
64	5987	178236
65	6063	177679
66	6151	177481
67	6239	177288
68	6312	176652
69	6388	176133
70	6494	176451
71	6613	177088
72	6697	176784
73	6768	176166
74	6865	176206
75	6971	176478
76	7043	175913
77	7126	175605
78	7205	175216
79	7279	174719
80	7355	174270
81	7445	174155
82	7542	174197
83	7628	174003
84	7725	174041
85	7836	174413
86	7929	174366
87	8007	173979
88	8096	173847
89	8179	173592
90	8282	173757
91	8338	172924
92	8456	173406
93	8534	173050
94	8617	172811
95	8714	172839
96	8798	172618
97	8907	172870
98	9015	173108
99	9078	172486
100	9170	172427
101	9264	172399
102	9381	172785
103	9470	172656
104	9562	172583
105	9636	172186
106	9724	172041
107	9785	171433
108	9880	171415
109	9978	171450
110	10037	170818
111	10142	170974
112	10247	171128
113	10342	171100
114	10441	171143
115	10499	170520
116	10574	170189
117	10666	170122
118	10753	169976
119	10827	169634
120	10884	169025
121	10972	168909
122	11047	168586
123	11119	168225
124	11178	167675
125	11236	167118
126	11324	167017
127	11405	166807
128	11501	166817
129	11623	167196
130	11722	167244
131	11798	166968
132	11884	166836
133	11957	166515
134	12016	166003
135	12092	165737
